start_time, end_time, is_question, is_pause, curr_sentence_length, speech_rate, is_edit_word, is_reparandum, is_interregnum, is_repair, pcm_RMSenergy_sma, pcm_fftMag_mfcc_sma[1], pcm_fftMag_mfcc_sma[2], pcm_fftMag_mfcc_sma[3], pcm_fftMag_mfcc_sma[4], pcm_fftMag_mfcc_sma[5], pcm_fftMag_mfcc_sma[6], pcm_fftMag_mfcc_sma[7], pcm_fftMag_mfcc_sma[8], pcm_fftMag_mfcc_sma[9], pcm_fftMag_mfcc_sma[10], pcm_fftMag_mfcc_sma[11], pcm_fftMag_mfcc_sma[12], pcm_zcr_sma, voiceProb_sma, F0_sma, pcm_RMSenergy_sma_de, pcm_fftMag_mfcc_sma_de[1], pcm_fftMag_mfcc_sma_de[2], pcm_fftMag_mfcc_sma_de[3], pcm_fftMag_mfcc_sma_de[4], pcm_fftMag_mfcc_sma_de[5], pcm_fftMag_mfcc_sma_de[6], pcm_fftMag_mfcc_sma_de[7], pcm_fftMag_mfcc_sma_de[8], pcm_fftMag_mfcc_sma_de[9], pcm_fftMag_mfcc_sma_de[10], pcm_fftMag_mfcc_sma_de[11], pcm_fftMag_mfcc_sma_de[12], pcm_zcr_sma_de, voiceProb_sma_de, F0_sma_de, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, UNK
3.490000000000000213e+00, 4.240000000000000213e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.200000000000000000e+01, 3.022670025188916920e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.320089452631579358e-03, -1.324286689473684220e+00, -2.345597773684211074e+00, -4.995858079473684654e+00, -6.640728263157893885e+00, -9.699009536842105206e+00, -1.095462134052631598e+01, -8.163278268421050754e+00, 2.316484670526314904e+00, -4.310546315789472449e-01, -1.425101215789473130e+00, 3.192814110526316362e+00, -2.147884786315788830e+00, 7.485745315789474330e-02, 5.068924157894737492e-01, 6.670188947368421850e+01, 5.633721210526314191e-05, 5.478683526315790697e-01, -1.253169973684210570e+00, -7.163097157894736666e-01, -9.671239473684209997e-01, 1.093586694736842002e+00, 1.278807550000000015e+00, -8.030517894736839690e-02, -1.829595000000001637e-01, -1.212740894736838958e-02, 1.722965368421053023e-01, -6.466660052631578726e-01, -4.321725084210524814e-01, -2.961074663157894221e-03, 1.406717584210526693e-02, 3.212613294736842207e+00, 1.263157894736842424e-01, 1.684210526315789436e-02, 1.297894736842105212e+00, 1.788421052631578689e+00, 1.577894736842104795e+00, 7.184210526315787382e-01, 4.473684210526316929e-01, 1.987368421052631895e+00, 1.597894736842105479e+00, 1.549473684210526336e+00, 9.652631578947368229e-01, 2.189473684210526960e-01, 8.442105263157894113e-01, 6.978947368421051234e-01, 1.011052631578947425e+00, 1.721052631578947056e-01, 8.105263157894737613e-02, 0.000000000000000000e+00, 4.736842105263157632e-01, 4.736842105263157632e-01, 6.842105263157894912e-01, 1.000000000000000000e+00, 6.842105263157894912e-01, 3.157894736842105088e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 7.894736842105263275e-01, 0.000000000000000000e+00, 1.578947368421052544e-01, 6.842105263157894912e-01, 4.210526315789473450e-01, 1.578947368421052544e-01, 1.052631578947368363e-01, 4.210526315789473450e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
4.250000000000000000e+00, 4.570000000000000284e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.200000000000000000e+01, 3.022670025188916920e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.647438000000000326e-03, 2.697332750000000168e+00, -1.637699766250000266e+01, -2.146193787499999672e+00, -9.768635499999998473e+00, -8.826804624999999405e+00, 2.430924750000000856e+00, -4.951283499999999727e+00, 6.783408749999983445e-02, -4.208793000000000006e+00, -1.403237337499999793e+00, -3.415027312499999024e+00, -6.742307824999999255e+00, 4.617187625000000045e-02, 5.401283000000000056e-01, 7.832264999999999588e+01, -1.731351124999999994e-04, -8.980274875000013313e-03, 2.033341450000000439e+00, 3.285198599999999747e+00, 1.209957850000000112e+00, -1.903314437500000178e+00, -1.810105900000000156e+00, 1.112136249999999826e-01, 9.810868875000001710e-01, -1.128724096250000031e+00, 3.249400249999999657e-01, 1.140518350000000236e+00, -3.998213500000000753e-01, -3.565103749999999627e-03, 6.838590124999998493e-03, 1.170932375000000292e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.148749999999999938e+00, 1.192500000000000115e+00, 2.108750000000000124e+00, 1.283749999999999947e+00, 2.312500000000000111e-01, 2.332500000000000018e+00, 2.434999999999999609e+00, 2.282499999999999751e+00, 3.862499999999999822e-01, 9.500000000000000111e-02, 9.162500000000000089e-01, 5.100000000000000089e-01, 2.171250000000000124e+00, 5.625000000000000000e-01, 7.774999999999999689e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.500000000000000000e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 8.750000000000000000e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.250000000000000000e-01, 5.000000000000000000e-01, 1.000000000000000000e+00, 3.750000000000000000e-01, 0.000000000000000000e+00, 2.500000000000000000e-01, 0.000000000000000000e+00
4.570000000000000284e+00, 4.980000000000000426e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.200000000000000000e+01, 3.022670025188916920e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.611846490000000777e-03, 2.143899470000000029e+00, 5.325840800000000153e-01, 7.523247499999999199e+00, -6.501528300000001259e+00, -1.879590800000000073e+01, -9.022757300000000313e+00, 7.949484899999998966e-01, -9.375246099999999805e-01, -7.327424600000000510e+00, 5.363402880000000650e+00, -1.498513959999999923e+00, -6.476135900000000056e+00, 2.466666699999999976e-02, 6.197808300000000603e-01, 1.443455170000000010e+02, -9.229437400000001766e-05, 2.592149000000000258e-01, 7.794940700000005385e-02, -2.067016600000000093e-01, -1.838924050000000088e-01, -8.923942000000011088e-02, -7.282905799999999097e-01, 5.303491140000000659e-01, 5.007220599999999688e-01, 5.176239899999999228e-01, 8.218752937000001202e-01, -3.498968169999999711e-01, -3.184054000000001439e-02, -4.854166800000001177e-04, -5.512953329999998806e-03, -2.164610280000000131e+01, 2.100000000000000200e-01, 2.410000000000000198e-01, 1.508999999999999897e+00, 1.467999999999999750e+00, 1.673000000000000043e+00, 1.073999999999999844e+00, 3.830000000000000071e-01, 2.247000000000000330e+00, 1.677000000000000268e+00, 1.617000000000000215e+00, 8.130000000000000560e-01, 3.599999999999999728e-02, 9.760000000000002007e-01, 8.019999999999999352e-01, 1.333999999999999853e+00, 3.420000000000000262e-01, 2.909999999999999809e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 2.999999999999999889e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000222e-01, 5.999999999999999778e-01, 2.999999999999999889e-01, 0.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
4.980000000000000426e+00, 5.129999999999999893e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.200000000000000000e+01, 3.022670025188916920e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.761346500000000342e-04, 2.784225900000000031e+00, 3.787125825000000390e+00, 1.689352949999999964e+00, -3.274001174999999986e+00, -1.236612000000000045e+01, -8.643273000000000650e+00, -7.320729250000000299e+00, 3.075073750000000050e+00, 1.753660500000000066e+00, 6.632251500000000632e+00, 7.960852499999999665e-01, -6.133786500000000252e+00, 2.950520750000000178e-02, 4.382726999999999595e-01, 0.000000000000000000e+00, -1.848822499999998510e-05, -7.954663750000000588e-01, 1.414921450000000025e+00, -2.264206999999999859e+00, -1.141747275000000172e+00, 7.954896000000000189e-01, 1.356535225000000233e+00, -2.931422249999999785e+00, -1.821868749999999981e-01, 1.532428249999999936e+00, -1.691617375000000090e+00, 8.841544249999999661e-01, 1.078932242500000083e+00, 6.578126249999999113e-03, -1.973180500000000157e-02, -1.922979999999998579e-01, 4.924999999999999933e-01, 1.525000000000000244e-01, 1.809999999999999831e+00, 8.850000000000000089e-01, 1.365000000000000213e+00, 4.949999999999999956e-01, 6.824999999999999956e-01, 2.082500000000000018e+00, 1.114999999999999991e+00, 1.714999999999999858e+00, 1.332500000000000018e+00, 5.500000000000000028e-02, 7.524999999999999467e-01, 9.649999999999999689e-01, 2.274999999999999800e-01, 4.500000000000000527e-02, 6.199999999999999956e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.500000000000000000e-01, 2.500000000000000000e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 7.500000000000000000e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 5.000000000000000000e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
5.129999999999999893e+00, 5.679999999999999716e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.200000000000000000e+01, 3.022670025188916920e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.006863999999999759e-03, 7.384728184285714647e+00, -2.893052628571428642e+00, -8.221488285714286803e+00, -5.677193407142857140e+00, -1.466203771428571656e+01, -9.927310285714284532e+00, -5.064573278571428361e+00, 6.646837285714285670e+00, 2.282218070000000321e+00, -5.094634785714287073e-01, 6.466785357142857960e-01, -1.327325685714285664e+00, 3.685267785714285704e-02, 7.276042571428570360e-01, 7.403671857142856538e+01, 2.217898128571428021e-04, 1.580326242857143237e-01, -1.277865392857142846e+00, 2.095413500000000151e-01, 3.604615714285713812e-01, -7.205176900000000995e-01, -4.578457242857142950e-01, 5.413817378571429417e-01, 4.838127307142857658e-01, -3.595807342857142430e-01, -2.560308642857142547e-01, 1.281291071428572181e-01, -1.079539349999999454e-01, -7.366072121428572260e-04, 2.393489928571416753e-03, -5.461682071428567431e-01, 3.100000000000000533e-01, 1.371428571428571497e-01, 1.855714285714286094e+00, 9.107142857142856984e-01, 1.547142857142857153e+00, 3.571428571428572063e-01, 5.728571428571428426e-01, 2.017142857142856904e+00, 1.387857142857142900e+00, 1.509285714285714119e+00, 1.070714285714285507e+00, 1.842857142857142472e-01, 5.450000000000000400e-01, 3.878571428571428448e-01, 8.342857142857144082e-01, 1.100000000000000006e-01, 2.692857142857142949e-01, 7.142857142857142461e-02, 5.000000000000000000e-01, 3.571428571428571508e-01, 4.285714285714285476e-01, 7.857142857142856984e-01, 8.571428571428570953e-01, 0.000000000000000000e+00, 9.285714285714286031e-01, 6.428571428571429047e-01, 7.857142857142856984e-01, 0.000000000000000000e+00, 7.142857142857142461e-02, 2.142857142857142738e-01, 0.000000000000000000e+00, 1.428571428571428492e-01, 7.142857142857142461e-02, 5.000000000000000000e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
5.679999999999999716e+00, 5.750000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.200000000000000000e+01, 3.022670025188916920e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.003180999999999774e-03, 3.298287000000000191e+00, -1.339276500000000070e+01, 2.284413999999999945e+00, -5.918800000000000061e+00, -2.423021500000000117e+01, -1.239076000000000022e+01, -4.921820999999999557e+00, 1.089249850000000031e+01, -3.618844000000000172e+00, -1.500986649999999978e+00, 4.933247999999999855e+00, -4.770513000000000225e+00, 3.526041500000000328e-02, 4.943641500000000022e-01, 0.000000000000000000e+00, -8.508714000000000338e-04, 9.589752999999999750e-01, 1.762748250000000017e+00, 3.076015500000000014e+00, 1.093435450000000086e+00, -4.487378000000000200e-01, -1.512853000000000003e+00, 6.704272650000000500e-01, -1.684653050000000096e+00, -3.800649499999999570e+00, 7.673800499999999802e-01, 2.196794999999999831e+00, 1.758211999999999886e+00, -6.177084000000000220e-03, 1.415939300000000102e-02, -3.736146499999999815e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.265000000000000124e+00, 1.900000000000000022e-01, 2.120000000000000107e+00, 8.000000000000000167e-02, 5.649999999999999467e-01, 2.629999999999999893e+00, 2.354999999999999982e+00, 2.209999999999999964e+00, 5.899999999999999689e-01, 0.000000000000000000e+00, 2.850000000000000311e-01, 0.000000000000000000e+00, 2.250000000000000000e+00, 1.900000000000000022e-01, 1.000000000000000021e-02, 1.000000000000000000e+00, 5.000000000000000000e-01, 0.000000000000000000e+00, 5.000000000000000000e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.750000000000000000e+00, 5.900000000000000355e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.200000000000000000e+01, 3.022670025188916920e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.134131499999999786e-03, 6.497126749999999618e+00, -1.013692250000000072e+00, 3.409912749999999715e+00, -3.214700000000000335e-01, -1.788850249999999775e+01, -1.584578500000000112e+01, -5.909591249999999185e-01, 4.524728750000000410e+00, -7.743603750000000119e+00, -1.728446049999999845e-01, 1.458619625000000086e+00, -1.951388974999999970e+00, 2.322916750000000169e-02, 6.783822749999999235e-01, 2.840256750000000352e+01, -2.143188749999999632e-04, 4.296880999999999617e-01, 2.443515249999999916e+00, -3.102651250000000305e-01, 7.331241800000000142e-01, 2.441474249999999735e+00, -9.046319499999999625e-01, -1.246574500000000030e-01, -4.763925305000000776e-01, 3.262854000000000032e-01, 4.801530250000000111e-01, -9.160662750000000409e-01, -2.026359500000000091e-01, -2.497396125000000185e-03, 7.480256499999998754e-02, 2.182067049999999853e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.325000000000000178e-01, 3.874999999999999556e-01, 2.064999999999999503e+00, 4.375000000000000000e-01, 5.825000000000000178e-01, 1.927500000000000213e+00, 2.084999999999999964e+00, 1.560000000000000053e+00, 6.800000000000000488e-01, 0.000000000000000000e+00, 2.500000000000000139e-02, 8.749999999999999445e-02, 1.437500000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.500000000000000000e-01, 5.000000000000000000e-01, 0.000000000000000000e+00, 7.500000000000000000e-01, 1.000000000000000000e+00, 7.500000000000000000e-01, 7.500000000000000000e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.900000000000000355e+00, 6.089999999999999858e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.200000000000000000e+01, 3.022670025188916920e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.209342999999999897e-03, 2.818165400000000265e+00, 4.370079200000000164e+00, 1.085620000000000029e+00, 5.352938999999999892e-01, -6.977390999999999899e+00, -1.802586200000000005e+01, -8.754229599999998612e+00, -1.501181655999999975e+00, -9.020133339999999444e-01, 1.539307600000000109e+00, 3.034804600000000074e-01, -2.543185199999999924e+00, 1.904166800000000118e-02, 7.804706799999999722e-01, 8.987673999999998387e+01, 1.539098259999999857e-04, -6.173945200000000577e-01, -1.218411499999999814e-01, 1.150971999999999884e+00, -4.668871400000000338e-01, 4.695454000000000017e-01, -6.751979999999999094e-02, -2.014069200000000226e+00, -9.069118400000000246e-01, -1.154633140000000530e-01, -9.044853199999998150e-01, 1.060174020000000050e+00, -4.656340200000000928e-01, 1.166666600000000435e-04, 7.394699999999998843e-03, 7.917725999999998265e-01, 1.400000000000000203e-02, 0.000000000000000000e+00, 9.499999999999999556e-01, 8.460000000000000853e-01, 1.440000000000000169e+00, 2.179999999999999716e-01, 2.660000000000000142e-01, 1.271999999999999797e+00, 1.250000000000000000e+00, 3.920000000000000151e-01, 8.579999999999998739e-01, 0.000000000000000000e+00, 9.800000000000000377e-02, 2.140000000000000235e-01, 6.580000000000000293e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.000000000000000444e-01, 2.000000000000000111e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 5.999999999999999778e-01, 8.000000000000000444e-01, 2.000000000000000111e-01, 8.000000000000000444e-01, 1.000000000000000000e+00, 2.000000000000000111e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000222e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
6.089999999999999858e+00, 6.320000000000000284e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.200000000000000000e+01, 3.022670025188916920e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.409094499999999445e-03, 4.686171833333333758e+00, -6.441194983333332402e+00, 3.971298666666667199e+00, -9.184486666666666466e+00, -1.459903366666666535e+01, -1.554460466666666640e+01, -1.216796999999999862e+01, 8.805744499999999420e+00, -2.669442516666666876e+00, -2.363323666666666600e+00, 5.095863299999999541e+00, -8.639813833333333193e+00, 2.746527666666666659e-02, 7.124361166666667300e-01, 9.231200666666667587e+01, 5.121491500000000972e-04, 4.739304666666666055e-01, -1.984009350000000005e+00, -2.649329733333333436e+00, -2.149172333333333462e+00, 9.630418333333334857e-02, 1.433756218333333221e+00, 6.387809666666667274e-01, 1.394125766666666655e+00, 1.537744616666666841e+00, 1.376016944999999936e+00, -1.212032593333333352e+00, -1.138253066666666591e+00, 2.034722049999999893e-03, -1.909956216666666359e-02, -3.369572333333333281e-01, 3.516666666666667385e-01, 3.000000000000000236e-02, 7.200000000000000844e-01, 1.929999999999999938e+00, 1.209999999999999964e+00, 1.283333333333333270e-01, 1.666666666666666774e-03, 1.256666666666666599e+00, 1.231666666666666687e+00, 7.749999999999999112e-01, 8.066666666666666430e-01, 0.000000000000000000e+00, 4.249999999999999889e-01, 1.333333333333333419e-02, 1.445000000000000062e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 8.333333333333333703e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.666666666666666574e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.666666666666666574e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.666666666666666297e-01, 0.000000000000000000e+00, 3.333333333333333148e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.320000000000000284e+00, 6.549999999999999822e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.200000000000000000e+01, 3.022670025188916920e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.735561099999999690e-03, 4.110577166666666393e+00, -6.288718349999999901e+00, -7.858568499999999624e+00, -1.200574733333333199e+01, -1.289028333333333443e+01, -1.195332733333333408e+01, -8.200428333333332986e+00, 5.938059833333333870e+00, 2.837466000000000488e+00, 2.442249801666666276e+00, -2.940882934999999865e+00, -9.429590833333332256e+00, 3.177083499999999727e-02, 6.852666166666666614e-01, 9.191855166666665866e+01, -6.248771749999999792e-04, -4.840829666666666142e-01, 3.909178166666665288e-01, 5.697135166666668082e-01, 8.697893166666665898e-01, -1.270874483333333194e+00, -3.036351833333333361e-01, -1.082573333333340139e-02, -1.161479166666665730e-01, -2.161431499999999784e-01, -1.186119466666666566e+00, 2.552271666666667271e-01, 1.050815849999999996e+00, -2.430556500000000282e-04, -9.332131333333333612e-03, -9.252785000000004478e-01, 1.166666666666666546e-01, 0.000000000000000000e+00, 6.016666666666666829e-01, 1.630000000000000115e+00, 1.308333333333333348e+00, 4.616666666666666696e-01, 0.000000000000000000e+00, 1.184999999999999831e+00, 1.356666666666666465e+00, 1.288333333333333330e+00, 8.666666666666665853e-01, 0.000000000000000000e+00, 5.783333333333333659e-01, 0.000000000000000000e+00, 1.396666666666666501e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 6.666666666666666297e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 5.000000000000000000e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 5.000000000000000000e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 3.333333333333333148e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
